date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:51:09	123284/123284	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Oct%202025%2014:21:10%20GMT	https://wb-Voltique1.mybigcommerce.com/chair-kimi/pareo-sarong-scarves/	D:/Voltique/wb-Voltique1.mybigcommerce.com/chair-kimi/pareo-sarong-scarves/index.html	(from https://wb-Voltique1.mybigcommerce.com/)
19:51:09	123222/123222	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Oct%202025%2014:21:10%20GMT	https://wb-Voltique1.mybigcommerce.com/chair-kimi/pashmina-scarves/	D:/Voltique/wb-Voltique1.mybigcommerce.com/chair-kimi/pashmina-scarves/index.html	(from https://wb-Voltique1.mybigcommerce.com/)
19:51:09	123290/123290	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Oct%202025%2014:21:10%20GMT	https://wb-Voltique1.mybigcommerce.com/chair-kimi/silk-scarves/	D:/Voltique/wb-Voltique1.mybigcommerce.com/chair-kimi/silk-scarves/index.html	(from https://wb-Voltique1.mybigcommerce.com/)
19:51:12	36419/36419	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Oct%202025%2014:21:09%20GMT	https://cdn11.bigcommerce.com/s-31zptpmygo/images/stencil/1280w/carousel/5/slide3.jpg?c=2	D:/Voltique/cdn11.bigcommerce.com/s-31zptpmygo/images/stencil/1280w/carousel/5/slide34847.jpg	(from https://wb-Voltique1.mybigcommerce.com/)
19:51:12	125051/125051	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Oct%202025%2014:21:11%20GMT	https://wb-Voltique1.mybigcommerce.com/scarf-moss/flowering-dogwood/	D:/Voltique/wb-Voltique1.mybigcommerce.com/scarf-moss/flowering-dogwood/index.html	(from https://wb-Voltique1.mybigcommerce.com/)
19:51:12	185417/185417	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Oct%202025%2014:21:11%20GMT	https://wb-Voltique1.mybigcommerce.com/scarf-moss/	D:/Voltique/wb-Voltique1.mybigcommerce.com/scarf-moss/index.html	(from https://wb-Voltique1.mybigcommerce.com/)
19:51:12	122012/122012	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Oct%202025%2014:21:11%20GMT	https://wb-Voltique1.mybigcommerce.com/scarf-moss/crape-myrtle/	D:/Voltique/wb-Voltique1.mybigcommerce.com/scarf-moss/crape-myrtle/index.html	(from https://wb-Voltique1.mybigcommerce.com/)
19:51:13	11133/11133	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Oct%202025%2007:25:26%20GMT	https://cdn11.bigcommerce.com/s-31zptpmygo/images/stencil/original/content/site/home1/banner/banner1.jpg	D:/Voltique/cdn11.bigcommerce.com/s-31zptpmygo/images/stencil/original/content/site/home1/banner/banner1.jpg	(from https://wb-Voltique1.mybigcommerce.com/)
19:51:13	6162/6162	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Oct%202025%2007:25:26%20GMT	https://cdn11.bigcommerce.com/s-31zptpmygo/images/stencil/original/content/site/home1/banner/banner2.jpg	D:/Voltique/cdn11.bigcommerce.com/s-31zptpmygo/images/stencil/original/content/site/home1/banner/banner2.jpg	(from https://wb-Voltique1.mybigcommerce.com/)
19:51:13	6181/6181	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Oct%202025%2007:25:26%20GMT	https://cdn11.bigcommerce.com/s-31zptpmygo/images/stencil/original/content/site/home1/banner/banner3.jpg	D:/Voltique/cdn11.bigcommerce.com/s-31zptpmygo/images/stencil/original/content/site/home1/banner/banner3.jpg	(from https://wb-Voltique1.mybigcommerce.com/)
19:51:13	122450/122450	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Oct%202025%2014:21:14%20GMT	https://wb-Voltique1.mybigcommerce.com/scarf-moss/flowering-dogwood/fringe-tree/	D:/Voltique/wb-Voltique1.mybigcommerce.com/scarf-moss/flowering-dogwood/fringe-tree/index.html	(from https://wb-Voltique1.mybigcommerce.com/)
19:51:14	122538/122538	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Oct%202025%2014:21:14%20GMT	https://wb-Voltique1.mybigcommerce.com/scarf-moss/flowering-dogwood/carolina-silverbell/	D:/Voltique/wb-Voltique1.mybigcommerce.com/scarf-moss/flowering-dogwood/carolina-silverbell/index.html	(from https://wb-Voltique1.mybigcommerce.com/)
19:51:14	122417/122417	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Oct%202025%2014:21:14%20GMT	https://wb-Voltique1.mybigcommerce.com/scarf-moss/flowering-dogwood/hawthorn/	D:/Voltique/wb-Voltique1.mybigcommerce.com/scarf-moss/flowering-dogwood/hawthorn/index.html	(from https://wb-Voltique1.mybigcommerce.com/)
19:51:15	5240/5240	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Oct%202025%2014:21:15%20GMT	https://cdn11.bigcommerce.com/s-31zptpmygo/images/stencil/278x350/products/111/414/11__19260.1568672702.jpg?c=2	D:/Voltique/cdn11.bigcommerce.com/s-31zptpmygo/images/stencil/278x350/products/111/414/11__192604847.jpg	(from https://wb-Voltique1.mybigcommerce.com/)
